basho,rank,rikishi,shusshin,weight_pounds,height_feet,height_feet_floor,height_inches_remainder,age,age_floor,country,count
2004.01,41,Tamakasuga,Japan,336.2625,6.020341207,6,0.244094488,31.96438356,31,Japan,5
2004.01,28,Takanonami,Japan,363.825,6.446850394,6,5.362204724,32.16164384,32,Japan,1
2004.01,38,Kitazakura,Japan,371.5425,6.217191601,6,2.606299213,32.02739726,32,Japan,2
2004.01,40,Asanowaka,Japan,307.5975,5.790682415,5,9.488188976,34.03835616,34,Japan,1
2004.01,34,Kotonowaka,Japan,391.608,6.266404199,6,3.196850394,35.61369863,35,Japan,1
2009.01,34,Tochiozan,Japan,324.3555,6.200787402,6,2.409448819,21.79234973,21,Japan,2
2009.01,33,Tochinoshin,Georgia,327.4425,6.266404199,6,3.196850394,21.19672131,21,Foreign,1
2009.01,10,Kisenosato,Japan,368.235,6.135170604,6,1.622047244,22.47540984,22,Japan,1
2009.01,17,Goeido,Japan,309.3615,5.971128609,5,11.65354331,22.71584699,22,Japan,2
2009.01,1,Hakuho,Mongolia,337.806,6.318897638,6,3.826771654,23.78688525,23,Mongolia,1
2009.01,27,Kakuryu,Mongolia,297.234,6.135170604,6,1.622047244,23.3715847,23,Mongolia,2
2009.01,12,Kotoshogiku,Japan,349.9335,5.889107612,5,10.66929134,24.89617486,24,Japan,3
2009.01,38,Toyohibiki,Japan,368.0145,6.069553806,6,0.834645669,24.10382514,24,Japan,7
2009.01,39,Masatsukasa,Japan,295.47,6.003937008,6,0.047244094,24.54644809,24,Japan,8
2009.01,41,Yamamotoyama,Japan,521.4825,6.233595801,6,2.803149606,24.6284153,24,Japan,9
2009.01,7,Harumafuji,Mongolia,277.83,6.069553806,6,0.834645669,24.69398907,24,Mongolia,1
2009.01,36,Tamawashi,Mongolia,328.545,6.200787402,6,2.409448819,24.10382514,24,Mongolia,5
2009.01,37,Koryu,Mongolia,336.2625,6.085958005,6,1.031496063,24.88251366,24,Mongolia,6
2009.01,8,Baruto,Estonia,381.024,6.512467192,6,6.149606299,24.13387978,24,Foreign,2
2009.01,23,Aran,Russia,306.936,6.069553806,6,0.834645669,24.89344262,24,Foreign,4
2009.01,11,Toyonoshima,Japan,317.961,5.593832021,5,7.125984252,25.4863388,25,Japan,2
2009.01,29,Chiyohakuho,Japan,297.675,5.918635171,5,11.02362205,25.67486339,25,Japan,3
2009.01,5,Kotooshu,Bulgaria,332.955,6.660104987,6,7.921259843,25.84153005,25,Foreign,1
2009.01,15,Yoshikaze,Japan,284.004,5.839895013,5,10.07874016,26.76502732,26,Japan,1
2009.01,42,Homasho,Japan,315.9765,6.102362205,6,1.228346457,27.68852459,27,Japan,3
2009.01,26,Asasekiryu,Mongolia,309.8025,6.069553806,6,0.834645669,27.37978142,27,Mongolia,2
